"bureau","adresse","latitude","longitude","dupont","lepen","macron","hamon","arthaud","poutou","cheminade","lassale","melenchon","asselineau","fillon","blancs","nuls","abstentions","inscrits"
36,"15, Rue Robert Legros   ",48.8587646,2.4643215,2.15,13.2,24.42,5.28,0.99,0.83,0.17,0.5,40.59,1.65,10.23,2.08,0.96,32.51,926
37,"50 avenue de la Résistance   ",48.8607802,2.4374185,1.65,6.89,22.6,14.52,0.45,1.8,0.15,0.9,41.92,1.8,7.34,0.29,1.18,22.87,879
38,"1 Jules Ferry15, Rue des Messiers   ",48.8602616,2.4308358,1.52,11.43,19.15,10.33,0.83,2.34,0,0.83,46.01,2.34,5.23,1.48,0.94,28.94,1047
39,"1 Jules Ferry15, Rue des Messiers   ",48.8602616,2.4308358,1.18,8.58,21.24,12.45,0.21,1.5,0.11,0.21,46.57,1.18,6.76,0.74,0.53,20.54,1188
40,"2 Jules Ferry56, Rue Parmentier   ",NA,NA,0.48,4.15,24.76,15.81,0.64,0.8,0,0.48,45.37,1.28,6.23,0.47,0.63,19.47,786
41,"Ecole élémentaire Joliot Curie",NA,NA,1.17,9.46,24.61,11.14,0.78,1.17,0.13,0.91,37.18,0.91,12.56,1.27,0.76,26.42,1071
42,"Ecole élémentaire Joliot Curie",NA,NA,1.86,8.86,25.57,8.57,0.86,0.43,0.29,0.86,40.71,1.71,10.29,2.08,0.83,30.87,1043
43,"Ecole élémentaire Joliot Curie",NA,NA,1.32,10.88,24.12,9.26,0.44,1.32,0,0.29,44.26,2.94,5.15,2.57,0.29,35.48,1085
44,"12, Place du Général de Gaulle   ",48.8685152,2.4338045,1.61,7.55,24.38,14.23,0.37,1.36,0.12,0.62,41.34,0.37,8.04,0.85,1.09,20.08,1031
45,"12, Place du Général de Gaulle   ",48.8685152,2.4338045,2.1,4.34,29.93,14.41,1.12,1.96,0.14,0.84,33.99,0.7,10.49,1.37,0.41,19.29,902
46,"12 rue Estienne d'Orves   ",48.8571113,2.4362601,1.75,6.6,29.51,13.61,0.67,1.08,0,0.67,33.96,0.81,11.32,0.92,1.06,20.06,947
